COUNTRY,SEX,YEAR,life_expectancy,average_number_of_calories_available_per_person_per_day,unemployment_rate,regular_daily_smokers,adult_overweight,alcahol_consumption_liter_per_capita,fat_available_ppd,protein_ppd,average_fruit_vegtable_ppd
Spain,ALL,2015.0,82.97,3105.0,2.2,18.4,41.96,11.6,66.27,91.38,17010.0
Spain,ALL,2016.0,83.49,3111.0,2.3,21.1,42.27,11.9,64.01,92.48,18030.0
Spain,ALL,2017.0,83.38,3093.0,4.2,18.1,42.58,2.92,64.56,91.75,19310.0
Spain,ALL,2018.0,83.49,3093.0,5.5,16.6,42.88,2.88,64.26,90.77,20580.0
Spain,ALL,2019.0,83.96,3081.0,6.3,17.6,43.16,4.31,64.24,90.9,23170.0
Spain,ALL,2020.0,82.44,3137.0,6.8,16.2,43.43,2.91,67.36,92.41,23410.0
Spain,ALL,2021.0,83.41,3145.0,7.0,24.8,43.67,1.37,66.75,94.62,25090.0
Estonia,ALL,2000.0,71.3,3154.0,7.4,24.3,43.9,1.23,65.4,95.92,27070.0
Estonia,ALL,2001.0,71.03,3709.0,9.4,24.7,44.1,1.44,161.53,96.58,28550.0
Estonia,ALL,2002.0,71.52,3747.0,11.0,24.3,44.27,0.71,164.94,100.83,28450.0
Estonia,ALL,2003.0,72.02,3749.0,10.7,23.2,44.4,1.7,165.81,100.64,26530.0
Estonia,ALL,2004.0,72.5,3717.0,10.8,21.9,44.49,1.16,162.06,99.47,25980.0
Estonia,ALL,2005.0,73.08,3722.0,10.1,20.9,44.54,0.66,160.79,99.25,25890.0
Estonia,ALL,2006.0,73.28,3716.0,10.0,18.8,44.56,0.5,163.34,99.26,24460.0
Estonia,ALL,2007.0,73.33,3716.0,9.8,14.6,44.56,0.55,163.62,100.12,24060.0
Estonia,ALL,2008.0,74.44,3713.0,8.8,37.0,44.55,0.55,165.2,101.18,27100.0
Estonia,ALL,2009.0,75.38,3702.0,7.4,36.0,44.54,0.63,162.36,98.38,32910.0
Estonia,ALL,2010.0,76.11,3697.0,6.6,34.0,44.55,0.73,159.41,96.11,37780.0
Estonia,ALL,2011.0,76.69,3708.0,6.4,33.0,44.59,0.85,161.27,96.93,39940.0
Estonia,ALL,2012.0,76.75,3720.0,7.1,33.0,44.65,0.95,167.7,96.58,42740.0
Estonia,ALL,2013.0,77.43,3715.0,8.6,31.0,44.7,1.12,161.57,98.96,46570.0
Estonia,ALL,2014.0,77.47,3733.0,9.8,30.5,44.75,1.92,162.32,99.6,46980.0
Estonia,ALL,2015.0,78.02,3789.0,9.7,29.5,44.8,0.99,161.69,98.48,47080.0
Estonia,ALL,2016.0,78.12,3804.0,9.5,28.0,44.85,0.6,166.57,98.93,46490.0
Finland,ALL,2000.0,77.87,3774.0,9.2,28.0,44.92,0.52,165.24,99.82,47130.0
Finland,ALL,2001.0,78.35,3768.0,9.3,26.0,44.99,0.52,166.86,98.52,47900.0
Finland,ALL,2002.0,78.46,3774.0,8.5,26.0,31.7,0.36,163.42,98.08,47820.0
Finland,ALL,2003.0,78.71,3800.0,6.9,25.0,32.2,0.51,173.38,100.34,45570.0
Finland,ALL,2004.0,78.98,3172.0,6.6,24.0,32.7,0.39,72.26,90.69,43400.0
Finland,ALL,2005.0,79.35,3215.0,7.5,23.0,33.2,0.44,74.3,90.29,42520.0
Finland,ALL,2006.0,79.67,3281.0,8.2,19.0,33.8,0.88,76.08,91.52,46070.0
Finland,ALL,2007.0,79.7,3327.0,8.4,20.0,34.3,1.38,77.85,92.66,48050.0
Finland,ALL,2008.0,80.03,3410.0,8.5,18.0,34.8,9.88,79.21,95.41,45810.0
Finland,ALL,2009.0,80.18,3488.0,8.3,17.0,35.3,10.48,81.03,98.22,50510.0
Finland,ALL,2010.0,80.34,3450.0,7.5,17.0,35.8,10.76,87.43,96.81,2360.0
Finland,ALL,2011.0,80.76,3446.0,7.0,17.0,36.3,10.3,84.87,94.54,2090.0
Finland,ALL,2012.0,80.83,3473.0,7.9,17.0,36.8,10.73,82.82,94.98,2010.0
Finland,ALL,2013.0,81.24,3447.0,8.3,16.0,37.3,11.15,82.89,94.12,1950.0
Finland,ALL,2014.0,81.35,3524.0,7.2,16.9,37.8,11.46,86.83,96.48,2190.0
Finland,ALL,2016.0,81.62,3467.0,7.6,13.9,38.3,12.43,89.08,97.61,2720.0
